run_id,bin,n,share,accuracy,accuracy_gold,gold_matches_panel,majority_baseline,lift,error_share,arch,label_mode,seed,test_accuracy
fmh_resnet50_hard_none_s224_full_bce_nfull_seed1,1,179,0.28100470957613816,0.7206703910614525,0.9608938547486033,0.7262569832402235,0.5027932960893855,0.21787709497206698,0.26595744680851063,resnet50,hard,1,0.7048665620094191
fmh_resnet50_hard_none_s224_full_bce_nfull_seed1,2,163,0.25588697017268447,0.7668711656441718,0.9386503067484663,0.7914110429447853,0.7116564417177914,0.05521472392638038,0.20212765957446807,resnet50,hard,1,0.7048665620094191
fmh_resnet50_hard_none_s224_full_bce_nfull_seed1,3,91,0.14285714285714285,0.8461538461538461,0.945054945054945,0.8351648351648352,0.945054945054945,-0.09890109890109888,0.07446808510638298,resnet50,hard,1,0.7048665620094191
fmh_resnet50_hard_none_s224_full_bce_nfull_seed1,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.005319148936170213,resnet50,hard,1,0.7048665620094191
fmh_resnet50_hard_none_s224_full_bce_nfull_seed2,0,180,0.282574568288854,0.5388888888888889,0.9444444444444444,0.5055555555555555,0.5055555555555555,0.033333333333333326,0.4585635359116022,resnet50,hard,2,0.7158555729984302
fmh_resnet50_hard_none_s224_full_bce_nfull_seed2,1,179,0.28100470957613816,0.7262569832402235,0.9329608938547486,0.7262569832402235,0.5027932960893855,0.22346368715083798,0.27071823204419887,resnet50,hard,2,0.7158555729984302
fmh_resnet50_hard_none_s224_full_bce_nfull_seed2,2,163,0.25588697017268447,0.7914110429447853,0.9754601226993865,0.7914110429447853,0.7116564417177914,0.07975460122699385,0.1878453038674033,resnet50,hard,2,0.7158555729984302
fmh_resnet50_hard_none_s224_full_bce_nfull_seed2,3,91,0.14285714285714285,0.8461538461538461,0.945054945054945,0.8351648351648352,0.945054945054945,-0.09890109890109888,0.07734806629834254,resnet50,hard,2,0.7158555729984302
fmh_resnet50_hard_none_s224_full_bce_nfull_seed2,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.0055248618784530384,resnet50,hard,2,0.7158555729984302
fmh_vit_small_hard_none_s224_full_bce_nfull_seed0,0,180,0.282574568288854,0.5222222222222223,0.9722222222222222,0.5055555555555555,0.5055555555555555,0.01666666666666672,0.46994535519125685,vit_small,hard,0,0.7127158555729984
fmh_vit_small_hard_none_s224_full_bce_nfull_seed0,1,179,0.28100470957613816,0.7150837988826816,0.9888268156424581,0.7262569832402235,0.5027932960893855,0.2122905027932961,0.2786885245901639,vit_small,hard,0,0.7127158555729984
fmh_vit_small_hard_none_s224_full_bce_nfull_seed0,2,163,0.25588697017268447,0.803680981595092,0.9877300613496932,0.7914110429447853,0.7116564417177914,0.09202453987730064,0.17486338797814208,vit_small,hard,0,0.7127158555729984
fmh_vit_small_hard_none_s224_full_bce_nfull_seed0,3,91,0.14285714285714285,0.8571428571428571,0.9560439560439561,0.8351648351648352,0.945054945054945,-0.08791208791208793,0.07103825136612021,vit_small,hard,0,0.7127158555729984
fmh_vit_small_hard_none_s224_full_bce_nfull_seed0,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.00546448087431694,vit_small,hard,0,0.7127158555729984
fmh_vit_small_hard_none_s224_full_bce_nfull_seed1,0,180,0.282574568288854,0.5333333333333333,0.9611111111111111,0.5055555555555555,0.5055555555555555,0.02777777777777779,0.4745762711864407,vit_small,hard,1,0.7221350078492935
fmh_vit_small_hard_none_s224_full_bce_nfull_seed1,1,179,0.28100470957613816,0.7262569832402235,0.9776536312849162,0.7262569832402235,0.5027932960893855,0.22346368715083798,0.2768361581920904,vit_small,hard,1,0.7221350078492935
fmh_vit_small_hard_none_s224_full_bce_nfull_seed1,2,163,0.25588697017268447,0.8282208588957055,0.9631901840490797,0.7914110429447853,0.7116564417177914,0.1165644171779141,0.15819209039548024,vit_small,hard,1,0.7221350078492935
fmh_vit_small_hard_none_s224_full_bce_nfull_seed1,3,91,0.14285714285714285,0.8351648351648352,0.978021978021978,0.8351648351648352,0.945054945054945,-0.10989010989010983,0.0847457627118644,vit_small,hard,1,0.7221350078492935
fmh_vit_small_hard_none_s224_full_bce_nfull_seed1,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.005649717514124294,vit_small,hard,1,0.7221350078492935
fmh_vit_small_hard_none_s224_full_bce_nfull_seed2,0,180,0.282574568288854,0.5444444444444444,0.9611111111111111,0.5055555555555555,0.5055555555555555,0.03888888888888886,0.4530386740331492,vit_small,hard,2,0.7158555729984302
fmh_vit_small_hard_none_s224_full_bce_nfull_seed2,1,179,0.28100470957613816,0.7206703910614525,0.9832402234636871,0.7262569832402235,0.5027932960893855,0.21787709497206698,0.27624309392265195,vit_small,hard,2,0.7158555729984302
fmh_vit_small_hard_none_s224_full_bce_nfull_seed2,2,163,0.25588697017268447,0.7975460122699386,0.9815950920245399,0.7914110429447853,0.7116564417177914,0.08588957055214719,0.18232044198895028,vit_small,hard,2,0.7158555729984302
fmh_vit_small_hard_none_s224_full_bce_nfull_seed2,3,91,0.14285714285714285,0.8351648351648352,0.978021978021978,0.8351648351648352,0.945054945054945,-0.10989010989010983,0.08287292817679558,vit_small,hard,2,0.7158555729984302
fmh_vit_small_hard_none_s224_full_bce_nfull_seed2,4,24,0.03767660910518053,0.9583333333333334,1.0,0.9583333333333334,1.0,-0.04166666666666663,0.0055248618784530384,vit_small,hard,2,0.7158555729984302
