run_id,bin,agreement_low,agreement_high,n,share,featured_fraction,majority_baseline,lift,error_share,accuracy,balanced_accuracy,auc_roc,ece,brier,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
convnext_tiny_hard_d4_s224_full_bce_nfull_seed4,0,0.0,0.2,5122,0.10713688085676037,0.4328387348691917,0.5671612651308082,0.09332292073408832,0.6917263325377884,0.6604841858648965,0.6439639089899128,0.7123613728061288,0.1441430133445898,0.23511007322306,convnext_tiny,gz2,hard,d4,224,full,bce,0,4,False,True
convnext_tiny_hard_d4_s224_full_bce_nfull_seed4,1,0.2,0.4,5706,0.11935240963855422,0.38310550297932,0.61689449702068,0.2756747283561164,0.24383452665075578,0.8925692253767964,0.8771261332446145,0.9605983713507443,0.014033296804932153,0.0783332274589688,convnext_tiny,gz2,hard,d4,224,full,bce,0,4,False,True
convnext_tiny_hard_d4_s224_full_bce_nfull_seed4,2,0.4,0.6,6977,0.14593791834002678,0.29281926329367924,0.7071807367063208,0.2740432850795471,0.05210819411296738,0.9812240217858679,0.9708073144062566,0.9984695186446407,0.021298356433790376,0.01600929161636221,convnext_tiny,gz2,hard,d4,224,full,bce,0,4,False,True
convnext_tiny_hard_d4_s224_full_bce_nfull_seed4,3,0.6,0.8,13454,0.2814173360107095,0.16701352757544224,0.8329864724245577,0.164858034785194,0.011535401750198886,0.9978445072097517,0.9940806633148452,0.9999866770597514,0.004913388790299155,0.0017642413582850227,convnext_tiny,gz2,hard,d4,224,full,bce,0,4,False,True
convnext_tiny_hard_d4_s224_full_bce_nfull_seed4,4,0.8,1.0,16549,0.34615545515394913,0.22859387274155538,0.7714061272584446,0.22847301951779564,0.0007955449482895784,0.9998791467762402,0.9998286632286255,0.9999998550537917,0.0006981344684757768,0.00011801736109296763,convnext_tiny,gz2,hard,d4,224,full,bce,0,4,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed0,0,0.0,0.2,5122,0.10713688085676037,0.4328387348691917,0.5671612651308082,-0.1013276064037485,0.1854412362749085,0.46583365872705973,0.5239067229676486,0.612352522403552,0.43173446524756,0.4470528767210831,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,0,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed0,1,0.2,0.4,5706,0.11935240963855422,0.38310550297932,0.61689449702068,-0.1466876971608833,0.20489358817947675,0.4702067998597967,0.5674760095234135,0.8056647285411294,0.4118544026977145,0.4118141878335135,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,0,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed0,2,0.4,0.6,6977,0.14593791834002678,0.29281926329367924,0.7071807367063208,-0.2039558549519851,0.23491934390673716,0.5032248817543357,0.6471862753793044,0.9449988502168913,0.33818036876326035,0.3428325865303298,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,0,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed0,3,0.6,0.8,13454,0.2814173360107095,0.16701352757544224,0.8329864724245577,-0.12472127248401954,0.26602955130811984,0.7082651999405382,0.8238188081714616,0.9943538332283184,0.0957548946694127,0.18951986077463998,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,0,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed0,4,0.8,1.0,16549,0.34615545515394913,0.22859387274155538,0.7714061272584446,0.1316695872862409,0.10871628033075777,0.9030757145446855,0.9371768760770798,0.99986257028804,0.0572871162865992,0.07659145238908308,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,0,False,True
